date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:11	323/323	------	200	untouched ('OK')	text/plain	date:Thu,%2023%20Sep%202021%2006:57:41%20GMT	https://www.membersleadingmembers.com/robots.txt		(from )
20:07:11	60580/60580	------	200	untouched ('OK')	text/html	etag:W/%220e752dc50dd17e15b31387afba34eee5--gzip%22	https://www.membersleadingmembers.com/	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/index.html	(from )
20:07:11	8/8	------	200	untouched ('OK')	text/html	date:Mon,%2027%20Sep%202021%2001:02:12%20GMT	https://images.squarespace-cdn.com/	C:/My%20Web%20Sites/mlm/images.squarespace-cdn.com/index.html	(from )
20:07:11	156/156	------	302	error ('Found')	text/html	etag:W/%221ed1c4b2bffb7efb885abc10c5e34e93%22	https://www.membersleadingmembers.com/s/Officer-Election-Appeal.pdf	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/s/Officer-Election-Appeal.18.delayed	(from https://www.membersleadingmembers.com/)
20:07:11	10462/10462	------	200	untouched ('')	image/x-icon	etag:CNqv8v/Zu+0CEAE=	https://images.squarespace-cdn.com/content/v1/5a330eb8b1ffb6e54c3f0cff/1514921384493-R4W0B020QAUEOPG28H7D/favicon.ico?format=50w	C:/My%20Web%20Sites/mlm/images.squarespace-cdn.com/content/v1/5a330eb8b1ffb6e54c3f0cff/1514921384493-R4W0B020QAUEOPG28H7D/favicon9f6a.ico	(from https://www.membersleadingmembers.com/)
20:07:11	16715/16715	------	200	untouched ('')	text/javascript	date:Mon,%2027%20Sep%202021%2000:33:44%20GMT	http://use.typekit.net/ik/Ctx7IpbhMlalevH1zOVfL8McVwY5HMbbiDYqRj2sXpXfeGjffFHN4UJLFRbh52jhWDmywDw3ZAJtjRBcZcJhZQ9XjDFcweFcZy7oMPG0dAmljcmkShU8jAsTdcilZAuKZW4DO1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCdAmljcmkShU8jAsTdcilZAuKZW4DOcFzdPUlZAuKZW4DdemyZe80Zhu8dA48S1w0SaBujW48Sagyjh90jhNlOYiaikolZAuKZW4DdemyZe80Zhu8dA48S1w0jhNlOYiaikolZAuKZW4DdemyZe80Zhu8dA48S1w0SaBujW48Sagyjh90jhNlJyBq-AtljhN0Zem0ShmqOWi8jKG4fVl9IMMjgfMfqMelavasgb.js	C:/My%20Web%20Sites/mlm/use.typekit.net/ik/Ctx7IpbhMlalevH1zOVfL8McVwY5HMbbiDYqRj2sXpXfeGjffFHN4UJLFRbh52jhWDmywDw3ZAJtjRBcZcJhZQ9XjDFcweFcZy7oMPG0dAmljcmkShU8jAsTdcilZAuKZW4DO1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCdAmljcmkShU8jAsTdcilZAuKZW4DO	(from https://www.membersleadingmembers.com/)
20:07:11	43523/43523	------	200	untouched ('')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/My%20Web%20Sites/mlm/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://www.membersleadingmembers.com/)
20:07:11	82046/82046	------	200	untouched ('')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/My%20Web%20Sites/mlm/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://www.membersleadingmembers.com/)
20:07:11	156/156	------	404	error ('Not%20Found')	text/html	etag:W/%22ceae5e730924c3865c54a329fe23a2fb%22	https://www.membersleadingmembers.com/s/Members-Leading-Members-Petition.pdf	C:/My%20Web%20Sites/mlm/www.membersleadingmembers.com/s/Members-Leading-Members-Petition.20.delayed	(from https://www.membersleadingmembers.com/)
20:07:11	257746/257746	------	200	untouched ('')	text/javascript	etag:%220e28a2bab2568967b06ccb29a987d025%22	http://assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-26ddeab7fa5f90b6c8cb3-min.en-US.js	C:/My%20Web%20Sites/mlm/assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-26ddeab7fa5f90b6c8cb3-min.en-US.js	(from https://www.membersleadingmembers.com/)
